nct_id,title,status,phase,study_type,conditions,lead_sponsor,start_date,completion_date,enrollment_count,sponsor_class,num_sites,fda_regulated_drug,minimum_age,maximum_age,accepts_healthy,sex,num_collaborators
NCT06225804,"A Phase 1, Open-Label Study of ABSK112 to Assess Safety, Tolerability, and Pharmacokinetics in Patients With Non-Small Cell Lung Cancer",RECRUITING,PHASE1,INTERVENTIONAL,Non-Small Cell Lung Cancer,"Abbisko Therapeutics Co, Ltd",2024-02-22,2028-03,164.0,INDUSTRY,14,True,18 Years,,False,ALL,0
NCT00143455,"Open Label, Randomised Multicentre Phase III Study Of Irinotecan Hydrochloride (Campto (Registered)) And Cisplatin Versus Etoposide And Cisplatin In Chemotherapy Naive Patients With Extensive Disease - Small Cell Lung Cancer",COMPLETED,PHASE3,INTERVENTIONAL,Small Cell Lung Carcinoma,Pfizer,2002-06,2008-12,485.0,INDUSTRY,67,,18 Years,75 Years,False,ALL,0
NCT06712355,"A Phase III, Multisite, Double-blinded Randomized Trial of BNT327 in Combination With Chemotherapy (Etoposide/Carboplatin) Compared to Atezolizumab in Combination With Chemotherapy (Etoposide/Carboplatin) in Participants With First-line Extensive-stage Small-cell Lung Cancer",RECRUITING,PHASE3,INTERVENTIONAL,Extensive-stage Small-cell Lung Cancer,BioNTech SE,2025-02-03,2029-03,621.0,INDUSTRY,202,True,18 Years,,False,ALL,1
NCT04333914,"A Prospective, Controlled, Randomized, Multicenter Study of the Efficacy of an Autophagy Inhibitor (GNS561), an Anti-NKG2A (Monalizumab) and an Anti-C5aR (Avdoralimab) Compared to the Standard of Care in Patients With Advanced or Metastatic Cancer and SARS-CoV-2 (COVID-19) Infection.",COMPLETED,PHASE2,INTERVENTIONAL,"SARS-CoV-2 (COVID-19) Infection, Advanced or Metastatic Hematological or Solid Tumor",Centre Leon Berard,2020-04-15,2021-12-31,19.0,OTHER,12,False,18 Years,,False,ALL,0
NCT03975114,A Randomized Phase 2 Study Comparing Immunotherapy With Chemotherapy in the Treatment of Elderly Patients With Advanced NSCLC (MILES-5),UNKNOWN,PHASE2,INTERVENTIONAL,"Carcinoma, Non-Small-Cell Lung","National Cancer Institute, Naples",2018-12-20,2024-06-30,460.0,OTHER,1,False,70 Years,,False,ALL,2
NCT03425006,Phase II Study of Pembrolizumab and Itacitinib (INCB039110) for First Line Treatment of Metastatic Non-Small Cell Lung Cancer Expressing PD-L1,TERMINATED,PHASE2,INTERVENTIONAL,Non Small Cell Lung Cancer,University of Pennsylvania,2018-06-18,2021-10-11,23.0,OTHER,1,True,18 Years,,False,ALL,0
NCT00228358,A Phase I Study of Infusion of HER-2/Neu Specific T Cells in Patients With Advanced Stage HER-2/Neu Expressing Cancers Who Have Received a HER-2/Neu Vaccine,COMPLETED,PHASE1,INTERVENTIONAL,"HER2-positive Breast Cancer, Recurrent Breast Cancer, Recurrent Non-small Cell Lung Cancer, Recurrent Ovarian Epithelial Cancer, Recurrent Ovarian Germ Cell Tumor, Stage IV Breast Cancer, Stage IV Non-small Cell Lung Cancer, Stage IV Ovarian Epithelial Cancer, Stage IV Ovarian Germ Cell Tumor",University of Washington,2003-06,,8.0,OTHER,1,,18 Years,,False,ALL,1
NCT02476526,Safety of Low Dose Intravenous Contrast 64 Multi-Detector Computed Tomography Scanning in Patients With Chronic Kidney Disease,COMPLETED,PHASE4,INTERVENTIONAL,"Chronic Kidney Disease, Pulmonary Embolism, Renal Artery Stenosis, Pulmonary Cancer",VA Greater Los Angeles Healthcare System,2008-09,2017-11-20,50.0,FED,1,,18 Years,,False,ALL,1
NCT04416035,"A Phase 3, Multicenter, Randomized and Double-Blind Study to Assess the Similarity in Efficacy and Safety Between TRS003 and China-approved Bevacizumab in Subjects With Advanced Nonsquamous NSCLC",UNKNOWN,PHASE3,INTERVENTIONAL,Advanced Non-squamous Non-small-cell Lung Cancer,Zhejiang Teruisi Pharmaceutical Inc.,2020-08-17,2021-11-10,608.0,INDUSTRY,11,True,18 Years,,False,ALL,0
NCT00003317,A Phase III Study of Surgical Resection and Chemotherapy (Paclitaxel and Carboplatin) With or Without Adjuvant Radiotherapy for Resected Stage IIIA Non-Small Cell Lung Cancer,COMPLETED,PHASE3,INTERVENTIONAL,Lung Cancer,Alliance for Clinical Trials in Oncology,1998-05,2005-08,480.0,OTHER,16,,18 Years,,False,ALL,1
